Observation: Box([-90.        -90.         -5.         -5.         -3.1415927  -5.
  -0.         -0.       ], [90.        90.         5.         5.         3.1415927  5.
  1.         1.       ], (8,), float32), float32
Action:      Discrete(4), int64
Using cpu device
action values = [ 0.0127886  -0.11541089  0.09351447 -0.02927131]
[0.0] #0: length 71, score -107, epsilon 1.000
[0.0] #1: length 76, score -152, epsilon 1.000
[0.0] #2: length 89, score -155, epsilon 1.000
[0.0] #3: length 58, score -105, epsilon 1.000
[0.0] #4: length 96, score -172, epsilon 1.000
[0.1] #5: length 78, score -62, epsilon 1.000
[0.1] #6: length 87, score -221, epsilon 0.996
[0.2] #7: length 84, score -386, epsilon 0.987
[0.3] #8: length 67, score -106, epsilon 0.981
[0.5] #9: length 109, score -482, epsilon 0.970
[0.6] #10: length 73, score -200, epsilon 0.963
[0.8] #11: length 107, score -234, epsilon 0.953
[0.9] #12: length 80, score -96, epsilon 0.945
[1.0] #13: length 74, score -76, epsilon 0.938
[1.1] #14: length 95, score -381, epsilon 0.929
[1.3] #15: length 99, score -126, epsilon 0.920
[1.4] #16: length 85, score -86, epsilon 0.912
[1.6] #17: length 113, score -90, epsilon 0.902
[1.7] #18: length 131, score -275, epsilon 0.890
[1.9] #19: length 126, score -267, epsilon 0.879
[2.1] #20: length 122, score -171, epsilon 0.869
[2.2] #21: length 83, score -84, epsilon 0.861
[2.4] #22: length 124, score -521, epsilon 0.851
[2.5] #23: length 82, score -108, epsilon 0.844
[2.6] #24: length 79, score -95, epsilon 0.837
[2.8] #25: length 96, score -247, epsilon 0.829
[2.9] #26: length 88, score -86, epsilon 0.822
[3.1] #27: length 136, score -179, epsilon 0.811
[3.2] #28: length 88, score -73, epsilon 0.804
[3.4] #29: length 93, score -62, epsilon 0.796
[3.5] #30: length 92, score -248, epsilon 0.789
[3.7] #31: length 115, score -73, epsilon 0.780
[3.9] #32: length 142, score -112, epsilon 0.769
[4.1] #33: length 136, score -148, epsilon 0.759
[4.3] #34: length 135, score -192, epsilon 0.748
[4.4] #35: length 100, score -127, epsilon 0.741
[4.6] #36: length 88, score -88, epsilon 0.734
[4.8] #37: length 150, score -243, epsilon 0.724
[5.1] #38: length 190, score -206, epsilon 0.710
[5.4] #39: length 185, score -156, epsilon 0.697
[5.6] #40: length 131, score -133, epsilon 0.688
[5.7] #41: length 81, score -153, epsilon 0.682
[5.9] #42: length 136, score -215, epsilon 0.673
[6.1] #43: length 150, score -185, epsilon 0.663
[6.3] #44: length 117, score -106, epsilon 0.655
[6.5] #45: length 123, score -28, epsilon 0.647
[6.6] #46: length 81, score -97, epsilon 0.642
[6.8] #47: length 157, score -123, epsilon 0.632
[6.9] #48: length 86, score -113, epsilon 0.627
[7.1] #49: length 97, score -128, epsilon 0.621
[7.3] #50: length 131, score -60, epsilon 0.613
[7.6] #51: length 190, score -206, epsilon 0.601
[7.8] #52: length 120, score -56, epsilon 0.594
[8.0] #53: length 141, score -123, epsilon 0.586
[8.3] #54: length 235, score -84, epsilon 0.572
[8.5] #55: length 140, score -106, epsilon 0.564
[8.7] #56: length 125, score -143, epsilon 0.557
[8.9] #57: length 123, score -120, epsilon 0.550
[9.4] #58: length 291, score -166, epsilon 0.534
[9.6] #59: length 123, score -75, epsilon 0.528
[9.8] #60: length 122, score -80, epsilon 0.521
[10.1] #61: length 195, score -200, epsilon 0.511
[10.4] #62: length 182, score -28, epsilon 0.502
[10.5] #63: length 95, score -65, epsilon 0.497
[10.8] #64: length 172, score -54, epsilon 0.489
[10.9] #65: length 93, score -157, epsilon 0.484
[11.1] #66: length 148, score -30, epsilon 0.477
[11.7] #67: length 345, score -93, epsilon 0.461
[11.9] #68: length 91, score -90, epsilon 0.457
[12.1] #69: length 142, score -109, epsilon 0.450
