[0.0] #0: length 113, score -101, avg -100.6, epsilon 0.995
[0.5] #1: length 64, score -85, avg -92.8, epsilon 0.990
[0.8] #2: length 102, score -352, avg -179.2, epsilon 0.985
[1.2] #3: length 125, score -102, avg -160.0, epsilon 0.980
[1.4] #4: length 64, score -149, avg -157.7, epsilon 0.975
[1.6] #5: length 73, score -106, avg -149.1, epsilon 0.970
[1.9] #6: length 96, score -114, avg -144.0, epsilon 0.966
[2.2] #7: length 95, score -330, avg -167.3, epsilon 0.961
[2.4] #8: length 72, score -144, avg -164.7, epsilon 0.956
[2.7] #9: length 81, score -174, avg -165.6, epsilon 0.951
[2.9] #10: length 61, score -152, avg -164.4, epsilon 0.946
[3.2] #11: length 109, score -137, avg -162.1, epsilon 0.942
[3.8] #12: length 169, score -110, avg -158.1, epsilon 0.937
[4.0] #13: length 88, score -316, avg -169.4, epsilon 0.932
[4.4] #14: length 121, score -167, avg -169.2, epsilon 0.928
[4.6] #15: length 66, score -25, avg -160.2, epsilon 0.923
[5.0] #16: length 107, score -108, avg -157.1, epsilon 0.918
[5.3] #17: length 113, score -202, avg -159.6, epsilon 0.914
[5.5] #18: length 65, score -28, avg -152.7, epsilon 0.909
[6.1] #19: length 164, score -314, avg -160.8, epsilon 0.905
[6.3] #20: length 82, score -414, avg -172.8, epsilon 0.900
[6.6] #21: length 80, score -58, avg -167.6, epsilon 0.896
[6.9] #22: length 112, score -352, avg -175.6, epsilon 0.891
[7.1] #23: length 63, score -137, avg -174.0, epsilon 0.887
[7.5] #24: length 99, score -132, avg -172.3, epsilon 0.882
[7.7] #25: length 85, score -297, avg -177.1, epsilon 0.878
[8.1] #26: length 109, score -131, avg -175.4, epsilon 0.873
[8.3] #27: length 74, score -44, avg -170.7, epsilon 0.869
[8.7] #28: length 108, score -172, avg -170.7, epsilon 0.865
[9.0] #29: length 94, score -48, avg -166.6, epsilon 0.860
[9.2] #30: length 74, score -112, avg -164.9, epsilon 0.856
[9.5] #31: length 91, score -147, avg -164.3, epsilon 0.852
[9.7] #32: length 78, score -127, avg -163.2, epsilon 0.848
[10.1] #33: length 113, score -170, avg -163.4, epsilon 0.843
[10.4] #34: length 81, score -75, avg -160.9, epsilon 0.839
[10.7] #35: length 102, score -185, avg -161.5, epsilon 0.835
[11.2] #36: length 139, score -211, avg -162.9, epsilon 0.831
[11.5] #37: length 108, score 67, avg -156.8, epsilon 0.827
[11.9] #38: length 109, score -139, avg -156.4, epsilon 0.822
[12.1] #39: length 70, score -54, avg -153.8, epsilon 0.818
[12.6] #40: length 162, score -38, avg -151.0, epsilon 0.814
[12.9] #41: length 81, score -121, avg -150.3, epsilon 0.810
[13.2] #42: length 88, score -105, avg -149.2, epsilon 0.806
[13.5] #43: length 92, score -44, avg -146.8, epsilon 0.802
[13.8] #44: length 83, score -68, avg -145.1, epsilon 0.798
[14.0] #45: length 72, score -75, avg -143.6, epsilon 0.794
[14.3] #46: length 82, score -85, avg -142.3, epsilon 0.790
[14.6] #47: length 114, score -306, avg -145.7, epsilon 0.786
[14.9] #48: length 94, score -130, avg -145.4, epsilon 0.782
[15.2] #49: length 75, score -54, avg -143.6, epsilon 0.778
[15.5] #50: length 101, score -77, avg -142.3, epsilon 0.774
[15.9] #51: length 119, score -173, avg -142.8, epsilon 0.771
[16.2] #52: length 89, score -78, avg -141.6, epsilon 0.767
[16.5] #53: length 93, score -159, avg -141.9, epsilon 0.763
[16.9] #54: length 108, score -66, avg -140.6, epsilon 0.759
[17.1] #55: length 76, score -127, avg -140.3, epsilon 0.755
[17.5] #56: length 128, score -151, avg -140.5, epsilon 0.751
[18.0] #57: length 141, score -114, avg -140.0, epsilon 0.748
[18.4] #58: length 114, score -98, avg -139.3, epsilon 0.744
[18.7] #59: length 82, score -66, avg -138.1, epsilon 0.740
[19.0] #60: length 99, score -117, avg -137.7, epsilon 0.737
[19.4] #61: length 131, score -30, avg -136.0, epsilon 0.733
[19.9] #62: length 131, score -76, avg -135.0, epsilon 0.729
[20.3] #63: length 120, score -162, avg -135.5, epsilon 0.726
[20.6] #64: length 96, score -85, avg -134.7, epsilon 0.722
[20.9] #65: length 107, score -77, avg -133.8, epsilon 0.718
[21.4] #66: length 131, score -27, avg -132.2, epsilon 0.715
[21.7] #67: length 93, score -88, avg -131.6, epsilon 0.711
[22.1] #68: length 117, score -40, avg -130.2, epsilon 0.708
[22.4] #69: length 102, score -75, avg -129.5, epsilon 0.704
[22.9] #70: length 124, score -87, avg -128.9, epsilon 0.701
[23.1] #71: length 75, score -35, avg -127.6, epsilon 0.697
[23.6] #72: length 141, score -79, avg -126.9, epsilon 0.694
[24.1] #73: length 135, score -98, avg -126.5, epsilon 0.690
[24.4] #74: length 93, score -84, avg -125.9, epsilon 0.687
[24.8] #75: length 130, score -84, avg -125.4, epsilon 0.683
[25.2] #76: length 123, score -94, avg -125.0, epsilon 0.680
[25.6] #77: length 110, score -245, avg -126.5, epsilon 0.676
[25.9] #78: length 100, score -84, avg -126.0, epsilon 0.673
[26.2] #79: length 90, score 42, avg -123.9, epsilon 0.670
[26.7] #80: length 134, score -84, avg -123.4, epsilon 0.666
[27.0] #81: length 88, score -81, avg -122.9, epsilon 0.663
[27.3] #82: length 90, score -63, avg -122.2, epsilon 0.660
[27.8] #83: length 144, score -72, avg -121.6, epsilon 0.656
[28.4] #84: length 185, score -62, avg -120.9, epsilon 0.653
[29.0] #85: length 172, score -79, avg -120.4, epsilon 0.650
[29.3] #86: length 97, score -73, avg -119.8, epsilon 0.647
[29.9] #87: length 162, score -84, avg -119.4, epsilon 0.643
[30.2] #88: length 88, score -89, avg -119.1, epsilon 0.640
[30.5] #89: length 102, score -93, avg -118.8, epsilon 0.637
[30.8] #90: length 83, score -96, avg -118.5, epsilon 0.634
[31.3] #91: length 139, score -137, avg -118.7, epsilon 0.631
[31.8] #92: length 138, score -50, avg -118.0, epsilon 0.627
[32.1] #93: length 116, score -82, avg -117.6, epsilon 0.624
[32.5] #94: length 97, score -55, avg -117.0, epsilon 0.621
[32.8] #95: length 103, score -99, avg -116.8, epsilon 0.618
[33.3] #96: length 132, score -78, avg -116.4, epsilon 0.615
[33.7] #97: length 131, score -183, avg -117.1, epsilon 0.612
[34.3] #98: length 151, score -50, avg -116.4, epsilon 0.609
[34.8] #99: length 148, score -8, avg -115.3, epsilon 0.606
[35.0] #100: length 80, score -78, avg -115.1, epsilon 0.603
[35.5] #101: length 137, score -89, avg -115.1, epsilon 0.600
[35.9] #102: length 132, score -107, avg -112.7, epsilon 0.597
[36.2] #103: length 81, score -98, avg -112.6, epsilon 0.594
[36.7] #104: length 131, score -83, avg -112.0, epsilon 0.591
[37.7] #105: length 293, score -43, avg -111.3, epsilon 0.588
[38.1] #106: length 118, score -80, avg -111.0, epsilon 0.585
[38.6] #107: length 120, score -178, avg -109.5, epsilon 0.582
[39.2] #108: length 171, score -80, avg -108.9, epsilon 0.579
[39.5] #109: length 109, score -83, avg -107.9, epsilon 0.576
[40.2] #110: length 195, score -66, avg -107.1, epsilon 0.573
